,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
45,0.05936808586120605,0.011695364154080604,0.0,0.0,0.01,"(25,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 5}",0.41616424116424117,0.5056392931392932,0.5068376068376069,0.5007309941520465,0.5646929824561402,0.49799233530812476,0.04765434048174732,38,0.515503978779841,0.4449336870026526,0.5601123990165087,0.46678447692584923,0.4840582149280728,0.49427855133058485,0.040199276885617585
46,0.03436036109924316,0.011699160275335607,0.0031302452087402345,0.006260490417480469,0.01,"(25,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 6}",0.18814968814968816,0.24324324324324323,0.26068376068376065,0.28472222222222204,0.23611111111111108,0.24207091707091702,0.032062703936322164,117,0.24327586206896548,0.29448275862068973,0.2608904109589041,0.26913779210314265,0.2165928015041633,0.25687592505117307,0.026032422736474374
47,0.050456905364990236,0.030505164493727564,0.0,0.0,0.01,"(25,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 7}",0.5072245322245322,0.52752079002079,0.2817307692307692,0.43749999999999983,0.25,0.40277947727947727,0.1146507342405997,94,0.5031122900088417,0.5101193633952256,0.26499999999999996,0.48067690748919645,0.2696078431372549,0.40570328080610374,0.11342985449960691
48,0.031246328353881837,0.009856184193900087,0.0031241893768310545,0.006248378753662109,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.4427754677754678,0.42567567567567566,0.39220085470085464,0.49378654970760216,0.3578216374269006,0.4225482825219667,0.045500739412207176,86,0.42260389036251106,0.43694518125552617,0.4376448893572181,0.5117087757593066,0.3653954038698885,0.43485962812089013,0.046676290048757556
49,0.025129413604736327,0.007767540550550208,0.0,0.0,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 3}",0.34134615384615385,0.4490384615384616,0.46826923076923066,0.4791666666666664,0.4451754385964913,0.43583371891266626,0.049645264052141876,66,0.3958974358974359,0.4553846153846155,0.44000000000000006,0.44812608587738895,0.43342020352444777,0.43456566813677766,0.0207045392622079
50,0.08116397857666016,0.02506433703124545,0.0,0.0,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.43134095634095637,0.5291060291060291,0.5566239316239318,0.534722222222222,0.6388888888888887,0.5369183249183248,0.06636525680393152,17,0.5785985853227233,0.5158311229000886,0.5629610115911485,0.5550962712117967,0.5409607401136282,0.5506895462278771,0.021254090880352825
51,0.07241511344909668,0.028015838451579126,0.0,0.0,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 5}",0.16013513513513514,0.5701143451143451,0.4481837606837606,0.41959064327485357,0.5577485380116958,0.4297425432951748,0.1492579991695055,79,0.2123342175066313,0.5371573828470382,0.49622058306989814,0.4035026877059129,0.5507978117551858,0.4400025365769332,0.12493216429965642
52,0.03123641014099121,0.017125786381796435,0.0,0.0,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 6}",0.2624740124740124,0.2692307692307692,0.22916666666666657,0.5007309941520465,0.27777777777777773,0.30646573554468276,0.09680081103092707,113,0.26465517241379305,0.25137931034482763,0.26301369863013696,0.5449638239204125,0.251242277733011,0.31505085660843624,0.1150940171127959
53,0.03728437423706055,0.007389534914371447,0.00019388198852539064,0.00038776397705078127,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 7}",0.40844594594594597,0.31891891891891894,0.42916666666666653,0.3980263157894735,0.4071637426900585,0.3918996026101289,0.03850089811808283,97,0.4312245800176835,0.3787267904509285,0.4542500878117316,0.4075410465903025,0.4009518320940306,0.4145388673929354,0.025967194349969976
54,0.14014973640441894,0.025233096196455418,0.00019960403442382814,0.00039920806884765627,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.4384355509355509,0.5815748440748442,0.4435897435897435,0.5369152046783624,0.6001461988304092,0.519463445516077,0.06796697901553607,29,0.5340716180371353,0.5569849690539347,0.5416772040744644,0.5198823937412662,0.5237690272918599,0.5352770424397322,0.013289686347100243
