,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
204,0.10678915977478028,0.03670592380962616,0.0001995563507080078,0.0003991127014160156,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.26388888888888884,0.25130845130845125,0.006719936036249561,154,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
205,0.1094881534576416,0.03839455794073426,0.0,0.0,0.001,"(50, 50)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.26388888888888884,0.25130845130845125,0.006719936036249561,154,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
206,0.10358233451843261,0.033974909921402445,0.0,0.0,0.001,"(50, 50)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.26388888888888884,0.25130845130845125,0.006719936036249561,154,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
207,0.10663771629333496,0.038046851406448416,0.003124046325683594,0.006248092651367188,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 55}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.26388888888888884,0.25130845130845125,0.006719936036249561,154,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
208,0.09712748527526856,0.02890848865861073,0.006248760223388672,0.00765313704209301,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 60}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.26388888888888884,0.25130845130845125,0.006719936036249561,154,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
209,0.01874518394470215,0.006248951023746565,0.0,0.0,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.25,0.24999999999999997,7.480041190591211e-17,276,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
210,0.018745279312133788,0.006248426452843233,0.0,0.0,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",0.25,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,5.487307082371866e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
211,0.024994087219238282,0.007652747746789528,0.0,0.0,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.25,0.24999999999999997,7.480041190591211e-17,276,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
212,0.03424372673034668,0.014126457383781005,0.0001994609832763672,0.00039892196655273444,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
213,0.04998879432678223,0.01168962081093992,0.0,0.0,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 6}",0.31385135135135134,0.21153846153846154,0.4999999999999999,0.2499999999999999,0.38706140350877194,0.3318521199047515,0.10292257160162925,1,0.36942970822281174,0.27346153846153853,0.25,0.25,0.38913213109068845,0.3064046755550078,0.060438748783667375
