,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
275,0.309302807,0.028634496,0,0,0.0001,"(25, 25)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 7}",0.754208817,0.730760584,0.75704829,0.742164444,0.759198261,0.748672734,0.010723714,29,0.747289387,0.75324105,0.746578818,0.750303058,0.746045528,0.748691568,0.002710204
276,0.340544462,0.037491043,0.009372854,0.007652903,0.0001,"(25, 25)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 8}",0.744904459,0.730841763,0.75704829,0.724328053,0.759361284,0.743295149,0.013886882,258,0.74534293,0.753506725,0.746864829,0.750277651,0.746371647,0.748472756,0.003013117
277,0.38740778,0.030291069,0.012496614,0.011689544,0.0001,"(25, 25)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 9}",0.75633196,0.730760584,0.756065972,0.741182126,0.759198261,0.748705069,0.010966097,23,0.7468389,0.75324105,0.746905501,0.750629177,0.746045528,0.748732031,0.002759271
278,0.384284163,0.03643474,0.012496567,0.006248283,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.754208817,0.730760584,0.756065972,0.724328053,0.755766417,0.744226964,0.01378416,226,0.747289387,0.75324105,0.746905501,0.750012117,0.742628768,0.748015365,0.003523324
279,0.421775484,0.10957244,0.012495899,0.00624795,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.75633196,0.730760584,0.756065972,0.725310371,0.759361284,0.745566528,0.01446157,153,0.7468389,0.752975375,0.747191512,0.749951532,0.746085918,0.748608648,0.002544645
280,0.543622494,0.103336929,0.01562109,0.009879253,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.744904459,0.732565255,0.75704829,0.741182126,0.75968733,0.747072717,0.010084931,92,0.74505704,0.748167144,0.746578818,0.750629177,0.743915265,0.746869489,0.002362882
281,0.612355518,0.063569615,0.015620565,0.009879102,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.754208817,0.730841763,0.76568268,0.725310371,0.759198261,0.747048489,0.016006321,101,0.747289387,0.753506725,0.739962498,0.749951532,0.746331257,0.74740828,0.004478235
282,0.712330008,0.027237047,0.006248236,0.007652495,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.750611965,0.730104908,0.75704829,0.742245956,0.759198261,0.747837646,0.010653436,65,0.746590572,0.751805858,0.746864829,0.750158695,0.746331257,0.748350242,0.002217701
283,0.871668816,0.026876479,0.012496853,0.01168999,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.75633196,0.730841763,0.764621109,0.742245956,0.759198261,0.750644897,0.012359855,1,0.7468389,0.753506725,0.740207836,0.750649372,0.746045528,0.747449672,0.004510317
284,0.95289731,0.050377933,0.003124285,0.006248569,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.747027601,0.730841763,0.756065972,0.742245956,0.759198261,0.747071099,0.010146388,95,0.744892444,0.753015807,0.746905501,0.750158695,0.746045528,0.748203595,0.002976099
285,1.637113285,0.444634396,0.006248617,0.007652962,0.0001,"(100, 25, 100)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.747027601,0.732565255,0.749427502,0.725391882,0.758378966,0.742557389,0.011929519,270,0.744892444,0.748513682,0.746474529,0.750297846,0.746126309,0.747260962,0.001913518
286,1.205964422,0.047792114,0.009373426,0.007653371,0.0001,"(100, 25, 100)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 3}",0.75633196,0.730841763,0.756065972,0.725391882,0.75592944,0.744913398,0.013820561,202,0.747124791,0.753506725,0.747191512,0.750297846,0.742669159,0.748158006,0.003614327
287,1.312190676,0.151132477,0.006248093,0.007652319,0.0001,"(100, 25, 100)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}",0.75633196,0.730841763,0.76568268,0.724328053,0.759361284,0.747309859,0.016511995,84,0.747124791,0.753506725,0.740228173,0.750012117,0.746371647,0.747448691,0.004397084
288,1.16222496,0.033648275,0.00937233,0.007652475,0.0001,"(100, 25, 100)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.747027601,0.730841763,0.76568268,0.725391882,0.75592944,0.744973969,0.015072904,198,0.744892444,0.753506725,0.740228173,0.750297846,0.742669159,0.746318869,0.004897942
289,1.22158637,0.060419739,0.006248283,0.007652553,0.0001,"(100, 25, 100)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 6}",0.75633196,0.730841763,0.76568268,0.725391882,0.75592944,0.746836739,0.015770393,112,0.747124791,0.753506725,0.740228173,0.750297846,0.742669159,0.746765339,0.004849069
